2025-11-19 15:55:37,812 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - World Bank & GFDRR Climate Adaptation Metadata Collection
2025-11-19 15:55:37,813 - INFO - ======================================================================
2025-11-19 15:55:37,813 - INFO - Fetching ICR document metadata (limit: 200)...
2025-11-19 15:55:38,275 - INFO - Fetched 1 ICR document metadata records (offset: 0, total: 1)
2025-11-19 15:55:39,072 - INFO - Fetched 1 ICR document metadata records (offset: 50, total: 2)
2025-11-19 15:55:39,774 - INFO - Fetched 1 ICR document metadata records (offset: 100, total: 3)
2025-11-19 15:55:40,427 - INFO - Fetched 1 ICR document metadata records (offset: 150, total: 4)
2025-11-19 15:55:41,151 - INFO - Fetched 1 ICR document metadata records (offset: 200, total: 5)
2025-11-19 15:55:41,794 - INFO - Fetched 1 ICR document metadata records (offset: 250, total: 6)
2025-11-19 15:55:42,520 - INFO - Fetched 1 ICR document metadata records (offset: 300, total: 7)
2025-11-19 15:55:43,236 - INFO - Fetched 1 ICR document metadata records (offset: 350, total: 8)
2025-11-19 15:55:43,972 - INFO - Fetched 1 ICR document metadata records (offset: 400, total: 9)
2025-11-19 15:55:44,684 - INFO - Fetched 1 ICR document metadata records (offset: 450, total: 10)
2025-11-19 15:55:45,328 - INFO - Fetched 1 ICR document metadata records (offset: 500, total: 11)
2025-11-19 15:55:45,969 - INFO - Fetched 1 ICR document metadata records (offset: 550, total: 12)
2025-11-19 15:55:46,727 - INFO - Fetched 1 ICR document metadata records (offset: 600, total: 13)
2025-11-19 15:55:47,431 - INFO - Fetched 1 ICR document metadata records (offset: 650, total: 14)
2025-11-19 15:55:48,055 - INFO - Fetched 1 ICR document metadata records (offset: 700, total: 15)
2025-11-19 15:55:48,689 - INFO - Fetched 1 ICR document metadata records (offset: 750, total: 16)
2025-11-19 15:55:49,333 - INFO - Fetched 1 ICR document metadata records (offset: 800, total: 17)
2025-11-19 15:55:49,998 - INFO - Fetched 1 ICR document metadata records (offset: 850, total: 18)
2025-11-19 15:55:50,647 - INFO - Fetched 1 ICR document metadata records (offset: 900, total: 19)
2025-11-19 15:55:51,353 - INFO - Fetched 1 ICR document metadata records (offset: 950, total: 20)
2025-11-19 15:55:52,008 - INFO - Fetched 1 ICR document metadata records (offset: 1000, total: 21)
2025-11-19 15:55:52,647 - INFO - Fetched 1 ICR document metadata records (offset: 1050, total: 22)
2025-11-19 15:55:53,386 - INFO - Fetched 1 ICR document metadata records (offset: 1100, total: 23)
2025-11-19 15:55:54,047 - INFO - Fetched 1 ICR document metadata records (offset: 1150, total: 24)
2025-11-19 15:55:54,720 - INFO - Fetched 1 ICR document metadata records (offset: 1200, total: 25)
2025-11-19 15:55:55,392 - INFO - Fetched 1 ICR document metadata records (offset: 1250, total: 26)
2025-11-19 15:55:56,072 - INFO - Fetched 1 ICR document metadata records (offset: 1300, total: 27)
2025-11-19 15:55:56,775 - INFO - Fetched 1 ICR document metadata records (offset: 1350, total: 28)
2025-11-19 15:55:57,427 - INFO - Fetched 1 ICR document metadata records (offset: 1400, total: 29)
2025-11-19 15:55:58,089 - INFO - Fetched 1 ICR document metadata records (offset: 1450, total: 30)
2025-11-19 15:55:58,762 - INFO - Fetched 1 ICR document metadata records (offset: 1500, total: 31)
2025-11-19 15:55:59,420 - INFO - Fetched 1 ICR document metadata records (offset: 1550, total: 32)
2025-11-19 15:56:00,087 - INFO - Fetched 1 ICR document metadata records (offset: 1600, total: 33)
2025-11-19 15:56:00,745 - INFO - Fetched 1 ICR document metadata records (offset: 1650, total: 34)
2025-11-19 15:56:01,472 - INFO - Fetched 1 ICR document metadata records (offset: 1700, total: 35)
2025-11-19 15:56:02,114 - INFO - Fetched 1 ICR document metadata records (offset: 1750, total: 36)
2025-11-19 15:56:02,851 - INFO - Fetched 1 ICR document metadata records (offset: 1800, total: 37)
2025-11-19 15:56:03,573 - INFO - Fetched 1 ICR document metadata records (offset: 1850, total: 38)
2025-11-19 15:56:04,263 - INFO - Fetched 1 ICR document metadata records (offset: 1900, total: 39)
2025-11-19 15:56:04,989 - INFO - Fetched 1 ICR document metadata records (offset: 1950, total: 40)
2025-11-19 15:56:05,635 - INFO - Fetched 1 ICR document metadata records (offset: 2000, total: 41)
2025-11-19 15:56:06,453 - INFO - Fetched 1 ICR document metadata records (offset: 2050, total: 42)
2025-11-19 15:56:07,199 - INFO - Fetched 1 ICR document metadata records (offset: 2100, total: 43)
2025-11-19 15:56:07,860 - INFO - Fetched 1 ICR document metadata records (offset: 2150, total: 44)
2025-11-19 15:56:08,520 - INFO - Fetched 1 ICR document metadata records (offset: 2200, total: 45)
2025-11-19 15:56:09,403 - INFO - Fetched 1 ICR document metadata records (offset: 2250, total: 46)
2025-11-19 15:56:10,129 - INFO - Fetched 1 ICR document metadata records (offset: 2300, total: 47)
2025-11-19 15:56:10,788 - INFO - Fetched 1 ICR document metadata records (offset: 2350, total: 48)
2025-11-19 15:56:11,442 - INFO - Fetched 1 ICR document metadata records (offset: 2400, total: 49)
2025-11-19 15:56:12,119 - INFO - Fetched 1 ICR document metadata records (offset: 2450, total: 50)
2025-11-19 15:56:12,759 - INFO - Fetched 1 ICR document metadata records (offset: 2500, total: 51)
2025-11-19 15:56:13,390 - INFO - Fetched 1 ICR document metadata records (offset: 2550, total: 52)
2025-11-19 15:56:14,077 - INFO - Fetched 1 ICR document metadata records (offset: 2600, total: 53)
2025-11-19 15:56:14,838 - INFO - Fetched 1 ICR document metadata records (offset: 2650, total: 54)
2025-11-19 15:56:15,530 - INFO - Fetched 1 ICR document metadata records (offset: 2700, total: 55)
2025-11-19 15:56:16,149 - INFO - Fetched 1 ICR document metadata records (offset: 2750, total: 56)
2025-11-19 15:56:16,815 - INFO - Fetched 1 ICR document metadata records (offset: 2800, total: 57)
2025-11-19 15:56:17,471 - INFO - Fetched 1 ICR document metadata records (offset: 2850, total: 58)
2025-11-19 15:56:18,106 - INFO - Fetched 1 ICR document metadata records (offset: 2900, total: 59)
2025-11-19 15:56:18,763 - INFO - Fetched 1 ICR document metadata records (offset: 2950, total: 60)
2025-11-19 15:56:19,414 - INFO - Fetched 1 ICR document metadata records (offset: 3000, total: 61)
2025-11-19 15:56:20,334 - INFO - Fetched 1 ICR document metadata records (offset: 3050, total: 62)
